E L0 L1 L2 L3 L4 L5 L6 L7 L8 L9 L10 L11 L12 L13 L14 L15 L16
6.445637392675657 0.2290 0.0617 0.1479 -0.0275 0.1251 0.1927 0.1721 0.0456 0.0310 0.0080 0.0068 0.0014 0.0052 0.0010 0 0 0
6.59553593669137 0.2263 0.0617 0.1458 -0.0296 0.1232 0.1924 0.1778 0.0463 0.0322 0.0083 0.0073 0.0015 0.0055 0.0011 0.0002 0 0
6.8353736071165105 0.2218 0.0618 0.1425 -0.0323 0.1199 0.1918 0.1862 0.0474 0.0341 0.0088 0.0081 0.0017 0.0059 0.0013 0.0010 0 0
7.195130112754222 0.2152 0.0621 0.1379 -0.0347 0.1146 0.1904 0.1975 0.0494 0.0368 0.0096 0.0092 0.0020 0.0064 0.0016 0.0020 0 0
7.644825744801361 0.2071 0.0630 0.1323 -0.0352 0.1077 0.1883 0.2095 0.0516 0.0402 0.0107 0.0103 0.0023 0.0068 0.0019 0.0035 0 0
7.794724288817074 0.2045 0.0635 0.1305 -0.0348 0.1052 0.1878 0.2127 0.0524 0.0412 0.0110 0.0107 0.0024 0.0069 0.0020 0.0040 0 0
7.944622832832787 0.2021 0.0641 0.1287 -0.0343 0.1027 0.1871 0.2155 0.0532 0.0422 0.0113 0.0111 0.0025 0.0070 0.0020 0.0048 0 0
8.0945213768485 0.1997 0.0649 0.1271 -0.0335 0.1005 0.1864 0.2183 0.0539 0.0431 0.0116 0.0114 0.0026 0.0071 0.0020 0.0049 0 0
8.244419920864212 0.1973 0.0659 0.1254 -0.0327 0.0982 0.1856 0.2215 0.0546 0.0441 0.0118 0.0117 0.0027 0.0071 0.0020 0.0048 0 0
8.394318464879925 0.1949 0.0669 0.1237 -0.0318 0.0960 0.1848 0.2244 0.0553 0.0451 0.0120 0.0121 0.0028 0.0071 0.0020 0.0047 0 0
8.544217008895638 0.1927 0.0679 0.1221 -0.0307 0.0940 0.1837 0.2270 0.0559 0.0461 0.0123 0.0124 0.0029 0.0072 0.0020 0.0045 0 0
8.69411555291135 0.1902 0.0689 0.1205 -0.0294 0.0920 0.1827 0.2293 0.0566 0.0472 0.0126 0.0128 0.0030 0.0072 0.0021 0.0043 0 0
8.844014096927065 0.1876 0.0699 0.1190 -0.0280 0.0900 0.1817 0.2314 0.0572 0.0484 0.0128 0.0132 0.0031 0.0074 0.0021 0.0042 0 0
8.993912640942778 0.1850 0.0710 0.1175 -0.0263 0.0883 0.1807 0.2333 0.0578 0.0494 0.0130 0.0135 0.0032 0.0074 0.0021 0.0041 0 0
9.293709728974203 0.1797 0.0729 0.1145 -0.0226 0.0853 0.1788 0.2367 0.0590 0.0514 0.0134 0.0141 0.0034 0.0074 0.0021 0.0039 0 0
9.593506817005629 0.1748 0.0744 0.1116 -0.0186 0.0825 0.1770 0.2393 0.0602 0.0534 0.0138 0.0147 0.0036 0.0075 0.0021 0.0037 0 0
9.893303905037055 0.1704 0.0759 0.1087 -0.0146 0.0799 0.1754 0.2411 0.0613 0.0552 0.0143 0.0153 0.0038 0.0077 0.0021 0.0035 0 0
10.19310099306848 0.1668 0.0775 0.1060 -0.0109 0.0775 0.1738 0.2423 0.0624 0.0568 0.0148 0.0158 0.0040 0.0078 0.0021 0.0033 0 0
10.342999537084193 0.1653 0.0783 0.1047 -0.0091 0.0764 0.1730 0.2426 0.0630 0.0575 0.0150 0.0160 0.0041 0.0078 0.0022 0.0032 0 0
10.492898081099908 0.1639 0.0791 0.1034 -0.0073 0.0752 0.1722 0.2428 0.0635 0.0582 0.0153 0.0162 0.0043 0.0079 0.0022 0.0031 0 0
10.64279662511562 0.1626 0.0800 0.1021 -0.0055 0.0741 0.1715 0.2429 0.0640 0.0588 0.0155 0.0164 0.0044 0.0079 0.0023 0.0030 0 0
10.792695169131333 0.1613 0.0808 0.1008 -0.0038 0.0730 0.1707 0.2428 0.0646 0.0595 0.0158 0.0166 0.0046 0.0080 0.0023 0.0030 0 0
11.092492257162759 0.1590 0.0825 0.0982 -0.0005 0.0709 0.1694 0.2426 0.0657 0.0607 0.0163 0.0170 0.0049 0.0081 0.0023 0.0029 0 0
11.392289345194184 0.1567 0.0841 0.0959 0.0025 0.0689 0.1681 0.2422 0.0668 0.0619 0.0169 0.0174 0.0053 0.0082 0.0023 0.0028 0 0
11.806009326677552 0.1534 0.0862 0.0935 0.0060 0.0665 0.1662 0.2414 0.0682 0.0635 0.0178 0.0179 0.0059 0.0083 0.0024 0.0028 0 0
